"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","time"
"1","RT @PSAWomenPol: .@DrLizJEvans, @KWintie &amp; @merylkenny accepting award for @PSAWomenPol as specialist group of the year #psa14 http://t.co/…",FALSE,0,NA,2014-04-16 20:41:16,FALSE,NA,"456532801957818368",NA,"web","fran_amery",7,TRUE,FALSE,NA,NA,2014-04-16 20:41:16
"2","Great day at #psa14 especially with @PSAWomenPol crowd. Particular thanks to @JournalPolitics for the free lunch!",FALSE,0,NA,2014-04-16 20:40:29,FALSE,NA,"456532603751768065",NA,"web","fran_amery",0,FALSE,FALSE,NA,NA,2014-04-16 20:40:29
"3","RT @PSAWomenPol: Jennifer Thomson, @fran_amery, @DrLizJEvans &amp; @profsarahchilds at #psa14 panel on Abortion &amp; Same-Sex Marriage http://t.co…",FALSE,0,NA,2014-04-16 20:37:43,FALSE,NA,"456531908952735748",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","fran_amery",1,TRUE,FALSE,NA,NA,2014-04-16 20:37:43
"4","RT @PolStudiesAssoc: Our straw poll on lowering the voting age to 16 with a largely younger audience came out 50:50 #psa14",FALSE,0,NA,2014-04-16 20:33:10,FALSE,NA,"456530763811266560",NA,"web","CllrRWillis",4,TRUE,FALSE,NA,NA,2014-04-16 20:33:10
"5","RT @PolStudiesAssoc: Our straw poll on lowering the voting age to 16 with a largely younger audience came out 50:50 #psa14",FALSE,0,NA,2014-04-16 20:32:28,FALSE,NA,"456530585016467456",NA,"web","LordNortonLouth",4,TRUE,FALSE,NA,NA,2014-04-16 20:32:28
"6","RT @GoodwinMJ: Big thanks to @PolStudiesAssoc, @AngeliaWilson89 &amp; Politics at Manchester for hosting a great #psa14 conference",FALSE,0,NA,2014-04-16 20:31:40,FALSE,NA,"456530385011105792",NA,"web","JonTonge",3,TRUE,FALSE,NA,NA,2014-04-16 20:31:40
"7","RT @PolStudiesAssoc: Our straw poll on lowering the voting age to 16 with a largely younger audience came out 50:50 #psa14",FALSE,0,NA,2014-04-16 20:31:09,FALSE,NA,"456530254626963456",NA,"web","JonTonge",4,TRUE,FALSE,NA,NA,2014-04-16 20:31:09
"8","RT @PoliticsLeicsU: .@merylkenny winning the #psa14 Specialist Group of the year award for the Women and Politics group http://t.co/IrRUHIp…",FALSE,0,NA,2014-04-16 20:23:58,FALSE,NA,"456528447527862274",NA,"web","CAlnevall",6,TRUE,FALSE,NA,NA,2014-04-16 20:23:58
"9","RT @RosWade1: #psa14
A great venue  !  Art nouveau and then
Ford Maddox  Brown at the town hall. More art and politics please! http://t.co/…",FALSE,0,NA,2014-04-16 20:16:57,FALSE,NA,"456526680945737728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngeliaWilson89",1,TRUE,FALSE,NA,NA,2014-04-16 20:16:57
"10","RT @nebulon82: Back from #psa14 great seeing @MartaCuanti @ThePurlyQueen @PoliBlogManc @FrancescaGains @RickWhitaker and irrepressible @srj…",FALSE,0,NA,2014-04-16 19:45:05,FALSE,NA,"456518663101616128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","srjeffares",1,TRUE,FALSE,NA,NA,2014-04-16 19:45:05
